"Designator","Comment","Value","Footprint","JLCPCB Part #"
"PI","","","pinrow40_rows2_nopinlabels_p2.54_id1.016_od1.524",""
"U1","","C1518769","C1518769","C1518769"
"R1","4.7k","4.7k","res0603","C23162"
"R2","4.7k","4.7k","res0603","C23162"
"J1","","C2691448","pinrow4_p2.54_nopinlabels","C2691448"
"Q1","","C414015","sot23","C414015"
"RG1","100","100","res0603","C22775"
"RP1","10k","10k","res0603","C25804"
"J2","","C492401","pinrow2_p2.54_nopinlabels","C492401"
"Q2","","C414015","sot23","C414015"
"RG2","100","100","res0603","C22775"
"RP2","10k","10k","res0603","C25804"
"J3","","C492401","pinrow2_p2.54_nopinlabels","C492401"
"RS2","68","68","res1206","C2907530"
"Q3","","C414015","sot23","C414015"
"RG3","100","100","res0603","C22775"
"RP3","10k","10k","res0603","C25804"
"J4","","C492401","pinrow2_p2.54_nopinlabels","C492401"
"RS3","47","47","res1206","C25384"
