Designator,Mid X,Mid Y,Layer,Rotation
PI,0.000,23.230,bottom,180
U1,-18.000,-14.000,top,0
R1,-10.000,-8.000,top,0
R2,-10.000,-12.000,top,0
J1,-24.000,0.000,top,90
Q1,-2.000,-14.000,top,180
RG1,-5.000,-8.000,top,0
RP1,1.000,-8.000,top,0
J2,-2.000,-24.000,top,0
Q2,7.000,-14.000,top,180
RG2,4.000,-8.000,top,0
RP2,10.000,-8.000,top,0
J3,7.000,-24.000,top,0
RS2,7.000,-19.000,top,180
Q3,22.000,-14.000,top,180
RG3,19.000,-8.000,top,0
RP3,25.000,-8.000,top,0
J4,22.000,-24.000,top,0
RS3,22.000,-19.000,top,180
